term,display_order,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator
like,9,4932.716780209608,2254,142,456949,146,western,Western,6973.858148757655,2041.1413685480466,517,20,74134,20
would,10,4748.888825667635,2170,143,456949,146,adventure,Adventure,4718.164934999749,-30.723890667885826,94,6,19923,6
would,10,4748.888825667635,2170,143,456949,146,fantasy,Fantasy,4272.445820433436,-476.4430052341986,138,19,32300,20
would,10,4748.888825667635,2170,143,456949,146,horror,Horror,4184.5596608448695,-564.329164822765,305,20,72887,20
would,10,4748.888825667635,2170,143,456949,146,humor,Humor,6718.080548414739,1969.191722747104,392,20,58350,20
would,10,4748.888825667635,2170,143,456949,146,mystery,Mystery,3505.5376321559756,-1243.351193511659,251,20,71601,20
would,10,4748.888825667635,2170,143,456949,146,romance,Romance,7012.829985893733,2263.941160226098,522,20,74435,20
would,10,4748.888825667635,2170,143,456949,146,science_fiction,Science Fiction,4782.535306363586,33.64648069595114,255,19,53319,20
would,10,4748.888825667635,2170,143,456949,146,western,Western,2873.1756009388405,-1875.713224728794,213,19,74134,20
been,11,4499.4080302178145,2056,143,456949,146,adventure,Adventure,4015.459519148723,-483.94851106909164,80,6,19923,6
been,11,4499.4080302178145,2056,143,456949,146,fantasy,Fantasy,2755.4179566563466,-1743.9900735614679,89,17,32300,20
been,11,4499.4080302178145,2056,143,456949,146,horror,Horror,4266.878867287719,-232.52916293009548,311,20,72887,20
been,11,4499.4080302178145,2056,143,456949,146,humor,Humor,6409.597257926306,1910.1892277084917,374,20,58350,20
been,11,4499.4080302178145,2056,143,456949,146,mystery,Mystery,4036.256476864848,-463.1515533529664,289,20,71601,20
been,11,4499.4080302178145,2056,143,456949,146,romance,Romance,5964.935850070531,1465.5278198527167,444,20,74435,20
been,11,4499.4080302178145,2056,143,456949,146,science_fiction,Science Fiction,4276.149215101559,-223.2588151162554,228,20,53319,20
been,11,4499.4080302178145,2056,143,456949,146,western,Western,3250.870046132679,-1248.5379840851356,241,20,74134,20
about,12,4339.652784008718,1983,146,456949,146,adventure,Adventure,4818.551422978468,478.8986389697493,96,6,19923,6
about,12,4339.652784008718,1983,146,456949,146,fantasy,Fantasy,4489.164086687306,149.51130267858753,145,20,32300,20
about,12,4339.652784008718,1983,146,456949,146,horror,Horror,4061.0808511805944,-278.57193282812386,296,20,72887,20
about,12,4339.652784008718,1983,146,456949,146,humor,Humor,5741.2167952013715,1401.5640111926532,335,20,58350,20
about,12,4339.652784008718,1983,146,456949,146,mystery,Mystery,4469.211323864192,129.558539855474,320,20,71601,20
about,12,4339.652784008718,1983,146,456949,146,romance,Romance,3398.938671323974,-940.7141126847441,253,20,74435,20
about,12,4339.652784008718,1983,146,456949,146,science_fiction,Science Fiction,5045.105872203155,705.4530881944365,269,20,53319,20
about,12,4339.652784008718,1983,146,456949,146,western,Western,3628.564491326517,-711.0882926822014,269,20,74134,20
could,13,4210.535530223285,1924,143,456949,146,adventure,Adventure,4918.9379109571855,708.4023807339008,98,6,19923,6
could,13,4210.535530223285,1924,143,456949,146,fantasy,Fantasy,5572.755417956657,1362.2198877333722,180,19,32300,20
could,13,4210.535530223285,1924,143,456949,146,horror,Horror,4774.513973685294,563.9784434620096,348,20,72887,20
could,13,4210.535530223285,1924,143,456949,146,humor,Humor,4747.215081405313,536.6795511820283,277,20,58350,20
could,13,4210.535530223285,1924,143,456949,146,mystery,Mystery,3491.5713467688997,-718.964183454385,250,20,71601,20
could,13,4210.535530223285,1924,143,456949,146,romance,Romance,4769.261772015852,558.7262417925676,355,20,74435,20
could,13,4210.535530223285,1924,143,456949,146,science_fiction,Science Fiction,4651.2500234438,440.7144932205156,248,19,53319,20
could,13,4210.535530223285,1924,143,456949,146,western,Western,2266.166671163029,-1944.3688590602555,168,19,74134,20
now,14,3805.6763446248924,1739,146,456949,146,adventure,Adventure,3312.754103297696,-492.9222413271964,66,6,19923,6
now,14,3805.6763446248924,1739,146,456949,146,fantasy,Fantasy,7058.823529411765,3253.1471847868725,228,20,32300,20
now,14,3805.6763446248924,1739,146,456949,146,horror,Horror,4088.5205866615447,282.8442420366523,298,20,72887,20
