term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
would,7,humor,Humor,6312.392222626525,1814.5002126707159,399,21,63209,21,3,humor:complement,U - Humor,4497.892009955809,1771,122,393740,125,deviation,1814.5002126707159,-5013.021267719306,5013.021267719306,shared,1,3,False
alice,8,adventure,Adventure,0.0,-388.08698155960894,0,0,57554,18,1,adventure:complement,U - Adventure,388.08698155960894,155,5,399395,128,deviation,-388.08698155960894,-5013.021267719306,5013.021267719306,shared,1,1,False
alice,8,romance,Romance,60.57081940204487,-340.06913615362936,5,1,82548,23,2,romance:complement,U - Romance,400.63995555567425,150,4,374401,123,deviation,-340.06913615362936,-5013.021267719306,5013.021267719306,shared,1,2,False
alice,8,humor,Humor,2278.1565916246104,2250.2193741714686,144,2,63209,21,3,humor:complement,U - Humor,27.937217453141667,11,3,393740,125,deviation,2250.2193741714686,-5013.021267719306,5013.021267719306,shared,1,3,False
ajax,9,adventure,Adventure,0.0,-335.5074550257264,0,0,57554,18,1,adventure:complement,U - Adventure,335.5074550257264,134,1,399395,128,deviation,-335.5074550257264,-5013.021267719306,5013.021267719306,shared,1,1,False
ajax,9,romance,Romance,0.0,-357.905026963069,0,0,82548,23,2,romance:complement,U - Romance,357.905026963069,134,1,374401,123,deviation,-357.905026963069,-5013.021267719306,5013.021267719306,shared,1,2,False
ajax,9,humor,Humor,2119.9512727617903,2119.9512727617903,134,1,63209,21,3,humor:complement,U - Humor,0.0,0,0,393740,125,deviation,2119.9512727617903,-5013.021267719306,5013.021267719306,shared,1,3,False
korner,10,adventure,Adventure,0.0,-415.6286383154521,0,0,57554,18,1,adventure:complement,U - Adventure,415.6286383154521,166,1,399395,128,deviation,-415.6286383154521,-5013.021267719306,5013.021267719306,shared,1,1,False
korner,10,romance,Romance,2010.9512041478895,2010.9512041478895,166,1,82548,23,2,romance:complement,U - Romance,0.0,0,0,374401,123,deviation,2010.9512041478895,-5013.021267719306,5013.021267719306,shared,1,2,False
korner,10,humor,Humor,0.0,-421.5980088383197,0,0,63209,21,3,humor:complement,U - Humor,421.5980088383197,166,1,393740,125,deviation,-421.5980088383197,-5013.021267719306,5013.021267719306,shared,1,3,False
dirty,11,adventure,Adventure,2137.123397157452,2006.9264743116478,123,4,57554,18,1,adventure:complement,U - Adventure,130.1969228458043,52,21,399395,128,deviation,2006.9264743116478,-5013.021267719306,5013.021267719306,shared,1,1,False
dirty,11,romance,Romance,84.79914716286281,-363.9176030594923,7,5,82548,23,2,romance:complement,U - Romance,448.71675022235513,168,20,374401,123,deviation,-363.9176030594923,-5013.021267719306,5013.021267719306,shared,1,2,False
dirty,11,humor,Humor,332.2311696119224,-58.889874732060946,21,2,63209,21,3,humor:complement,U - Humor,391.1210443439833,154,23,393740,125,deviation,-58.889874732060946,-5013.021267719306,5013.021267719306,shared,1,3,False
